name,category,maker,length_cm,id_inch,od_fr,notes,proximal_id_inch,proximal_od_inch,distal_id_inch,distal_od_inch,hub_length_cm,hub_length_source,proximal_non_effective_length_cm,proximal_length_source,proximal_length_note
6F Roadmaster (90 cm),ガイディング,Nipro,90,0.071,6,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.07874016,0.071,,,,,,
6F Roadmaster (100 cm),ガイディング,Nipro,100,0.071,6,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.07874016,0.071,,,,,,
7F Roadmaster (90 cm),ガイディング,Nipro,90,0.08,7,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.09186352,0.08,,,,,,
7F Roadmaster (100 cm),ガイディング,Nipro,100,0.08,7,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.09186352,0.08,,,,,,
8F Roadmaster (80 cm),ガイディング,Nipro,80,0.09,8,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.10498688,0.09,,,,,,
8F Roadmaster (85 cm),ガイディング,Nipro,85,0.09,8,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.10498688,0.09,,,,,,
8F Roadmaster (90 cm),ガイディング,Nipro,90,0.09,8,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.10498688,0.09,,,,,,
5F Launcher (90 cm),ガイディング,Medtronic,90,0.058,5,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.0656168,0.058,,,,,,
5F Launcher (100 cm),ガイディング,Medtronic,100,0.058,5,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.0656168,0.058,,,,,,
6F Launcher (90 cm),ガイディング,Medtronic,90,0.071,6,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.07874016,0.071,,,,,,
